YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,imp_rec,LNGTH,WGT,lngth_imp,wgt_imp,month,strat_id,psu_id,common,wp_size,l_in_bin,l_cm_bin,VAR_ID,ARX_METHOD,ALT_FLAG,date_published
2020,12,3,5,1515620200111001,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200111,,6567.5105138,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200111002,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200111,,6567.5105138,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200111003,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200111,,5672.7986373,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200111004,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200111,,5672.7986373,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200111005,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200111,,5672.7986373,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200126001,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200126,,5146.0798627,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200126002,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200126,,5146.0798627,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200126003,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200126,,5146.0798627,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200126004,6,1,we,,,,,0,0,01,2020011273weS:8AM-8PM,2020112731515620200126,,5146.0798627,,,2020011273weS:8AM-8PM,,0,05/04/2021
2020,12,3,5,1515620200201001,6,1,we,8861030101,,223,0.55,1,1,02,2020021273weS:8AM-8PM,2020112731515620200201,STRIPED BURRFISH,46640.090236,8,22,2020021273weS:8AM-8PM,,0,05/04/2021
